user_id,password,name,sex,age,phone,email,pdi_1,pdi_2,pdi_3,pdi_4,pdi_5,pdi_6,pdi_7,pdi_8,pdi_9,pdi_10,pdi_11,pdi_12,pdi_13,pdi_sum,phq9,phq9_2,phq9_3,phq9_4,phq9_5,phq9_6,phq9_7,phq9_8,phq9_9,phq_sum,pdi_status,phq_status
Arnomann,123456,aaa,male,53,010-9012-3457,a@a.com,3,4,4,4,2,1,0,2,3,4,2,3,4,36,3,3,3,3,2,1,1,3,3,22,즉각적인 도움이 필요한 상황,중증 우울
Arthaidana,123456,bbb,male,53,010-1234-5680,b@b.com,4,4,4,4,4,4,4,4,3,4,2,2,3,46,3,3,3,3,3,3,3,2,3,26,즉각적인 도움이 필요한 상황,중증 우울
Arzelliff,123456,ccc,male,37,010-2345-6791,c@c.com,3,3,3,3,3,2,2,3,1,3,2,1,1,30,0,1,3,2,2,1,1,0,1,11,즉각적인 도움이 필요한 상황,중증 우울
Arzhurioth,123456,ddd,male,38,010-3456-7892,d@d.com,2,1,2,2,1,1,2,3,2,2,1,2,2,23,2,1,1,2,2,1,0,1,2,12,모니터링이 필요한 상황,중증 우울
Ashlindur,123456,eee,male,65,010-4567-8903,e@e.com,2,2,2,2,2,2,2,2,2,2,1,1,1,23,1,1,1,1,1,1,1,1,0,8,모니터링이 필요한 상황,경증 우울
Athereth,123456,fff,female,42,010-5678-9014,f@f.com,3,3,2,2,3,1,3,3,3,3,1,3,3,33,0,0,1,2,1,0,0,1,1,6,즉각적인 도움이 필요한 상황,경증 우울
Athriceth,123456,ggg,male,56,010-6789-0125,g@g.com,3,3,3,3,2,2,3,2,2,3,2,2,2,32,2,1,0,1,1,0,1,0,0,6,즉각적인 도움이 필요한 상황,경증 우울
Baillica,123456,hhh,female,55,010-7890-1236,h@h.com,3,3,3,3,3,3,3,3,3,3,3,3,3,39,3,3,3,3,3,3,3,2,2,25,즉각적인 도움이 필요한 상황,중증 우울
Bailpinn,123456,iii,male,53,010-8901-2347,i@i.com,2,2,3,2,3,2,2,2,2,2,2,2,2,28,1,2,1,3,1,2,1,2,1,14,즉각적인 도움이 필요한 상황,중증 우울
Bairluin,123456,jjj,male,62,010-9012-3458,j@j.com,2,3,3,3,2,2,3,2,2,2,2,2,2,30,1,1,0,0,0,0,0,0,0,2,즉각적인 도움이 필요한 상황,정상
Baisreogan,123456,kkk,female,46,010-1234-5680,k@k.com,4,4,4,3,4,4,4,4,4,4,4,4,4,51,3,3,3,3,3,3,3,1,0,22,즉각적인 도움이 필요한 상황,중증 우울
Baisriag,123456,lll,male,60,010-2345-6791,l@l.com,1,2,1,1,2,2,1,2,1,2,2,1,2,20,0,0,1,0,0,0,0,0,0,1,모니터링이 필요한 상황,정상
Bardingald,123456,mmm,female,24,010-3456-7892,m@m.com,0,0,0,0,0,0,2,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,정상,정상
Barnoraern,123456,nnn,female,51,010-4567-8903,n@n.com,1,1,1,1,1,1,2,1,1,1,1,1,1,14,0,0,0,0,0,0,0,0,0,0,모니터링이 필요한 상황,정상
Bartonya,123456,ooo,male,54,010-5678-9014,o@o.com,3,3,3,2,2,2,1,3,2,2,2,2,2,29,3,1,3,1,1,1,1,0,1,12,즉각적인 도움이 필요한 상황,중증 우울
Beadralan,123456,ppp,female,34,010-6789-0125,p@p.com,2,1,2,2,2,2,2,2,1,2,2,1,2,23,0,0,0,0,0,0,0,0,0,0,모니터링이 필요한 상황,정상
Beathora,123456,qqq,male,34,010-7890-1236,q@q.com,2,1,2,3,3,2,3,1,1,2,1,1,1,23,0,0,0,0,0,0,0,0,0,0,모니터링이 필요한 상황,정상
Bedwaihn,123456,rrr,female,23,010-8901-2347,r@r.com,4,3,3,4,4,2,4,3,0,4,3,3,1,38,1,1,2,3,3,1,0,0,0,11,즉각적인 도움이 필요한 상황,중증 우울
Belebotic,123456,sss,male,65,010-9012-3458,s@s.com,2,1,1,1,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,모니터링이 필요한 상황,정상
Belebriti,123456,ttt,female,59,010-1234-5681,t@t.com,1,1,1,1,2,1,2,1,1,2,2,1,1,17,1,1,1,0,0,0,0,0,0,3,모니터링이 필요한 상황,정상
Belenabuit,123456,uuu,male,53,010-2345-6792,u@u.com,3,3,3,4,2,2,3,1,0,2,0,3,3,29,0,0,0,0,0,0,0,0,0,0,즉각적인 도움이 필요한 상황,정상
Benairgiri,123456,vvv,male,62,010-3456-7893,v@v.com,2,2,2,2,3,1,3,1,1,3,1,1,1,23,1,0,0,0,0,0,0,0,0,1,모니터링이 필요한 상황,정상
Beorteen,123456,www,male,35,010-4567-8904,w@w.com,1,1,1,2,2,1,3,1,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,1,모니터링이 필요한 상황,정상
Beortink,123456,xxx,male,62,010-5678-9015,x@x.com,2,2,2,2,2,2,2,2,2,2,2,2,2,26,1,1,1,1,1,1,1,1,1,9,모니터링이 필요한 상황,경증 우울
Berhdonnah,123456,yyy,male,54,010-6789-0126,y@y.com,2,3,2,3,1,2,4,3,0,3,0,3,3,29,0,1,0,1,0,0,0,0,0,2,즉각적인 도움이 필요한 상황,정상
Berneila,123456,zzz,male,61,010-7890-1237,z@z.com,3,2,2,4,2,1,3,1,2,2,2,3,3,30,1,1,0,1,0,1,0,0,0,4,즉각적인 도움이 필요한 상황,정상
Bertessy,123456,aaa,male,70,010-8901-2348,a@a.com,1,3,3,3,2,1,3,2,2,2,3,2,2,29,1,2,1,2,2,0,1,0,0,9,즉각적인 도움이 필요한 상황,경증 우울
Bethiltone,123456,bbb,female,41,010-9012-3459,b@b.com,2,2,2,2,2,2,2,2,2,2,2,2,2,26,3,3,3,3,3,3,3,3,3,27,모니터링이 필요한 상황,중증 우울
Bevilbury,123456,ccc,male,63,010-1234-5681,c@c.com,2,2,2,3,1,1,3,1,1,2,1,1,1,21,0,1,0,1,0,0,0,0,0,2,모니터링이 필요한 상황,정상
Blaengyth,123456,ddd,male,38,010-2345-6792,d@d.com,3,2,3,2,1,2,1,1,1,0,0,0,0,16,2,1,0,1,1,0,0,0,0,5,모니터링이 필요한 상황,경증 우울
Blanbogida,123456,eee,male,59,010-3456-7893,e@e.com,3,3,2,3,3,3,4,3,2,3,2,3,3,37,3,1,3,1,1,0,1,0,0,10,즉각적인 도움이 필요한 상황,중증 우울
Blunetterr,123456,fff,female,42,010-4567-8904,f@f.com,3,3,2,2,2,2,3,2,2,2,2,2,2,29,1,1,1,0,0,0,0,0,0,3,즉각적인 도움이 필요한 상황,정상
Bogidigh,123456,ggg,male,34,010-5678-9015,g@g.com,3,2,2,1,3,2,1,2,3,2,2,3,2,28,2,1,2,1,2,1,2,1,1,13,즉각적인 도움이 필요한 상황,중증 우울
Borgaurois,123456,hhh,female,25,010-6789-0126,h@h.com,2,2,2,3,2,2,2,2,2,2,2,2,2,27,1,1,2,2,2,0,0,0,0,8,즉각적인 도움이 필요한 상황,경증 우울
Braisink,123456,iii,male,49,010-7890-1237,i@i.com,3,2,2,3,1,2,3,1,0,1,0,0,0,18,3,2,3,2,1,2,0,0,0,13,모니터링이 필요한 상황,중증 우울
Brannathry,123456,jjj,male,46,010-8901-2348,j@j.com,2,2,3,2,3,1,2,1,1,1,0,1,0,19,3,2,1,2,2,0,1,1,0,12,모니터링이 필요한 상황,중증 우울
Breanmuni,123456,kkk,male,62,010-9012-3459,k@k.com,3,3,3,3,3,3,4,3,0,2,2,3,2,34,0,1,3,1,1,0,1,0,0,7,즉각적인 도움이 필요한 상황,경증 우울
Brechtanya,123456,lll,female,52,010-1234-5682,l@l.com,4,4,4,4,4,2,4,2,1,4,2,1,1,37,1,1,1,1,1,0,0,0,0,5,즉각적인 도움이 필요한 상황,경증 우울
Brekorriel,123456,mmm,female,31,010-2345-6793,m@m.com,2,3,3,4,2,1,3,2,2,3,0,0,2,27,1,1,2,2,2,1,2,0,0,11,즉각적인 도움이 필요한 상황,중증 우울
Brenserna,123456,nnn,male,59,010-3456-7894,n@n.com,3,3,2,2,2,2,2,2,1,2,1,1,1,24,3,2,1,2,1,2,2,1,0,14,모니터링이 필요한 상황,중증 우울
Brenthiana,123456,ooo,female,50,010-4567-8905,o@o.com,0,1,0,3,1,1,3,2,3,1,1,0,2,18,1,1,1,2,1,1,1,0,0,8,모니터링이 필요한 상황,경증 우울
Brentilo,123456,ppp,female,29,010-5678-9016,p@p.com,3,3,3,3,3,3,3,3,2,2,0,0,2,30,1,0,0,0,0,0,0,0,0,1,즉각적인 도움이 필요한 상황,정상
Brentiso,123456,qqq,male,43,010-6789-0127,q@q.com,2,2,1,2,1,1,3,1,1,1,1,1,1,18,1,1,1,1,1,0,0,0,0,5,모니터링이 필요한 상황,경증 우울
Brevenius,123456,rrr,male,45,010-7890-1238,r@r.com,3,2,1,1,0,1,4,0,0,1,0,1,1,15,0,0,1,1,0,0,0,0,0,2,모니터링이 필요한 상황,정상
Briganneet,123456,sss,male,68,010-8901-2349,s@s.com,1,2,2,2,2,2,3,2,2,3,2,2,3,28,1,1,0,1,0,0,0,0,0,3,즉각적인 도움이 필요한 상황,정상
Britasidey,123456,ttt,female,37,010-9012-3460,t@t.com,1,1,1,1,1,1,1,1,1,1,1,1,1,13,1,1,1,1,1,1,1,1,1,9,모니터링이 필요한 상황,경증 우울
Britinus,123456,uuu,male,63,010-1234-5682,u@u.com,3,2,1,3,1,2,3,1,1,3,1,1,2,24,1,0,0,0,0,0,0,0,0,1,모니터링이 필요한 상황,정상
Brosetran,123456,vvv,male,47,010-2345-6793,v@v.com,2,2,3,3,3,2,3,2,1,2,0,0,0,23,1,1,1,1,1,0,1,0,0,6,모니터링이 필요한 상황,경증 우울
Bructian,123456,www,male,63,010-3456-7894,w@w.com,2,3,3,3,3,3,3,2,3,2,2,1,1,31,1,1,1,1,1,1,1,0,1,8,즉각적인 도움이 필요한 상황,경증 우울
Bruithan,123456,xxx,female,37,010-4567-8905,x@x.com,2,3,2,2,2,2,2,3,1,2,0,0,1,22,1,1,3,1,2,0,0,0,0,8,모니터링이 필요한 상황,경증 우울
Brunoran,123456,yyy,male,56,010-5678-9016,y@y.com,1,1,0,3,1,0,4,0,0,0,0,3,3,16,0,0,0,0,0,0,0,0,0,0,모니터링이 필요한 상황,정상
Buaculer,123456,zzz,female,47,010-6789-0127,z@z.com,3,2,3,1,2,1,3,1,1,1,3,1,1,23,1,1,1,1,0,0,0,0,0,4,모니터링이 필요한 상황,정상
Buichenne,123456,aaa,male,60,010-7890-1238,a@a.com,1,1,1,2,1,1,3,1,2,1,1,1,1,17,0,0,0,0,1,0,0,0,0,1,모니터링이 필요한 상황,정상
Burnessink,123456,bbb,male,64,010-8901-2349,b@b.com,2,3,2,2,2,1,3,2,1,1,1,2,2,24,1,1,1,1,0,1,1,0,0,6,모니터링이 필요한 상황,경증 우울
Burystink,123456,ccc,male,68,010-9012-3460,c@c.com,3,3,3,3,2,2,2,3,3,2,2,2,2,32,3,2,1,1,1,1,1,0,0,10,즉각적인 도움이 필요한 상황,중증 우울
Cabrenna,123456,ddd,female,37,010-1234-5683,d@d.com,4,4,3,4,3,4,1,3,1,1,1,2,1,32,1,3,3,3,3,3,2,0,2,20,즉각적인 도움이 필요한 상황,중증 우울
Caedwain,123456,eee,female,44,010-2345-6794,e@e.com,3,3,3,3,2,2,3,1,0,3,0,0,0,23,2,1,3,1,1,1,0,0,0,9,모니터링이 필요한 상황,경증 우울
Caehenelta,123456,fff,male,49,010-3456-7895,f@f.com,2,4,3,2,2,1,3,0,0,2,0,0,0,19,1,1,0,0,0,0,0,0,0,2,모니터링이 필요한 상황,정상
Caerekwen,123456,ggg,female,19,010-4567-8906,g@g.com,3,3,3,3,3,0,0,3,3,3,3,0,0,27,1,1,1,1,1,1,1,1,1,9,즉각적인 도움이 필요한 상황,경증 우울
Cairuvon,123456,hhh,female,61,010-5678-9017,h@h.com,2,3,2,2,2,2,3,1,3,3,2,2,2,29,1,3,3,3,3,3,0,0,0,16,즉각적인 도움이 필요한 상황,중증 우울
Calanianna,123456,iii,male,52,010-6789-0128,i@i.com,1,1,1,1,1,1,1,1,1,1,1,1,1,13,0,0,0,0,0,0,0,0,0,0,모니터링이 필요한 상황,정상
Camulaith,123456,jjj,male,45,010-7890-1239,j@j.com,2,1,1,1,1,1,2,1,1,1,1,1,1,15,1,0,1,1,0,0,0,0,0,3,모니터링이 필요한 상황,정상
Caradiccio,123456,kkk,male,47,010-8901-2350,k@k.com,0,0,0,1,0,0,3,0,0,2,0,2,2,10,0,0,0,0,0,0,0,0,0,0,모니터링이 필요한 상황,정상
Caspaars,123456,lll,female,35,010-9012-3461,l@l.com,3,3,3,3,2,2,3,3,2,3,2,1,1,31,1,1,0,1,1,0,1,0,0,5,즉각적인 도움이 필요한 상황,경증 우울
Casyelan,123456,mmm,female,37,010-1234-5683,m@m.com,2,0,0,3,0,0,3,0,0,1,0,0,0,9,0,0,3,2,0,0,0,0,0,5,모니터링이 필요한 상황,경증 우울
Catugennor,123456,nnn,male,63,010-2345-6794,n@n.com,2,2,1,2,2,2,2,2,0,1,0,0,0,16,1,0,0,0,0,0,0,0,0,1,모니터링이 필요한 상황,정상
Cealhawney,123456,ooo,female,49,010-3456-7895,o@o.com,3,2,2,3,2,2,3,2,1,3,2,1,2,28,1,0,0,1,0,0,0,0,0,2,즉각적인 도움이 필요한 상황,정상
Celowell,123456,ppp,male,56,010-4567-8906,p@p.com,2,2,2,2,1,0,1,0,0,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,모니터링이 필요한 상황,정상
Celthire,123456,qqq,male,37,010-5678-9017,q@q.com,1,1,1,1,1,1,1,1,1,1,1,1,1,13,0,0,0,0,0,0,0,0,0,0,모니터링이 필요한 상황,정상
Cenhwyfern,123456,rrr,female,65,010-6789-0128,r@r.com,2,2,2,2,2,2,2,2,2,2,2,2,2,26,1,1,1,1,1,1,1,1,1,9,모니터링이 필요한 상황,경증 우울
Cerespasco,123456,sss,female,55,010-7890-1239,s@s.com,3,3,3,3,3,2,2,3,3,3,3,2,2,35,1,1,2,1,0,0,1,1,2,9,즉각적인 도움이 필요한 상황,경증 우울
Cermothipi,123456,ttt,male,42,010-8901-2350,t@t.com,3,3,3,3,3,3,2,2,1,1,1,1,1,27,3,1,1,1,1,1,1,1,1,11,즉각적인 도움이 필요한 상황,중증 우울
Certekin,123456,uuu,male,59,010-9012-3461,u@u.com,3,3,3,2,3,2,2,2,2,3,3,3,4,35,1,2,2,2,2,2,1,2,2,16,즉각적인 도움이 필요한 상황,중증 우울
Cervelie,123456,vvv,female,34,010-1234-5684,v@v.com,4,3,4,3,3,2,2,0,0,2,0,0,0,23,3,1,3,1,0,3,0,0,3,14,모니터링이 필요한 상황,중증 우울
Cesasina,123456,www,female,63,010-2345-6795,w@w.com,2,2,2,2,1,1,4,1,0,1,1,1,1,19,0,0,0,0,0,0,0,0,0,0,모니터링이 필요한 상황,정상
Cetiorla,123456,xxx,female,23,010-3456-7896,x@x.com,3,3,3,2,1,2,1,1,0,2,2,2,2,24,3,3,3,3,3,3,3,0,1,22,모니터링이 필요한 상황,중증 우울
Chadislett,123456,yyy,male,68,010-4567-8907,y@y.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,정상,정상
Chaerly'In,123456,zzz,female,57,010-5678-9018,z@z.com,2,3,3,3,3,3,2,2,2,3,3,2,2,33,2,3,3,2,2,2,1,2,2,19,즉각적인 도움이 필요한 상황,중증 우울
Chamorwal,123456,aaa,male,37,010-6789-0129,a@a.com,2,2,2,2,2,2,2,2,2,2,2,2,2,26,0,0,0,0,0,0,0,0,0,0,모니터링이 필요한 상황,정상
Chanbury,123456,bbb,male,49,010-7890-1240,b@b.com,1,1,1,1,1,1,2,1,2,1,1,0,0,13,0,0,0,0,0,0,0,0,0,0,모니터링이 필요한 상황,정상
Charlies,123456,ccc,female,41,010-8901-2351,c@c.com,3,3,2,4,2,2,3,3,1,3,2,3,4,35,3,3,1,3,1,3,1,1,1,17,즉각적인 도움이 필요한 상황,중증 우울
Cheloudoc,123456,ddd,female,59,010-9012-3462,d@d.com,2,2,2,2,1,1,2,0,0,2,0,2,1,17,1,0,0,0,0,0,1,0,0,2,모니터링이 필요한 상황,정상
Chlandir,123456,eee,male,59,010-1234-5684,e@e.com,1,2,2,2,1,3,3,1,0,1,0,0,0,16,0,0,0,0,0,0,0,0,0,0,모니터링이 필요한 상황,정상
Chrobether,123456,fff,female,41,010-2345-6795,f@f.com,2,2,4,3,2,1,3,1,1,4,1,0,1,25,1,1,1,1,0,0,0,0,0,4,모니터링이 필요한 상황,정상
Cinafrez,123456,ggg,female,21,010-3456-7896,g@g.com,3,2,1,3,1,1,3,2,1,3,2,1,2,25,0,0,0,1,0,0,0,0,0,1,모니터링이 필요한 상황,정상
Clodvenus,123456,hhh,female,34,010-4567-8907,h@h.com,3,2,2,2,1,0,2,1,1,2,1,0,0,17,2,1,3,2,3,1,2,0,0,14,모니터링이 필요한 상황,중증 우울
Clodwain,123456,iii,female,51,010-5678-9018,i@i.com,4,4,3,4,3,3,3,2,2,4,3,1,3,39,3,3,2,3,3,2,2,2,0,20,즉각적인 도움이 필요한 상황,중증 우울
Clodwinion,123456,jjj,male,81,010-6789-0129,j@j.com,3,2,3,2,2,2,2,2,1,1,1,1,1,23,0,0,0,0,0,0,0,0,0,0,모니터링이 필요한 상황,정상
Cloughtyne,123456,kkk,male,53,010-7890-1240,k@k.com,2,3,2,3,1,1,3,1,1,3,1,1,1,23,3,3,1,3,1,0,0,0,0,11,모니터링이 필요한 상황,중증 우울
Coannelle,123456,lll,male,54,010-8901-2351,l@l.com,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,2,정상,정상
Cobhaire,123456,mmm,male,50,010-9012-3462,m@m.com,1,1,1,2,1,1,2,0,0,1,1,2,2,15,1,1,3,2,1,2,1,0,0,11,모니터링이 필요한 상황,중증 우울
Cobroostan,123456,nnn,male,62,010-1234-5685,n@n.com,3,3,3,3,3,3,3,3,1,2,1,1,3,32,3,3,1,1,1,1,2,0,0,12,즉각적인 도움이 필요한 상황,중증 우울
Colasgil,123456,ooo,male,48,010-2345-6796,o@o.com,1,0,0,1,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,정상,정상
Colinnon,123456,ppp,female,45,010-3456-7897,p@p.com,2,3,2,3,2,2,2,2,2,1,1,2,2,26,3,2,2,2,1,1,1,1,3,16,모니터링이 필요한 상황,중증 우울
Colphonis,123456,qqq,male,54,010-4567-8908,q@q.com,4,3,2,3,3,2,3,3,2,2,3,3,2,35,3,3,2,3,2,3,1,2,2,21,즉각적인 도움이 필요한 상황,중증 우울
Comanzir,123456,rrr,female,51,010-5678-9019,r@r.com,3,3,3,3,2,2,3,2,1,3,1,1,1,28,2,2,2,1,1,1,1,0,0,10,즉각적인 도움이 필요한 상황,중증 우울
Comghalla,123456,sss,female,58,010-6789-0130,s@s.com,2,2,1,1,1,1,1,1,1,1,1,1,1,15,1,0,0,1,1,0,0,0,0,3,모니터링이 필요한 상황,정상
Concheryn,123456,ttt,female,40,010-7890-1241,t@t.com,1,3,4,3,2,1,2,1,2,3,3,1,3,29,1,2,1,3,1,0,0,0,0,8,즉각적인 도움이 필요한 상황,경증 우울
Conniferil,123456,uuu,male,49,010-8901-2352,u@u.com,2,1,1,3,1,1,2,1,1,2,1,1,2,19,1,1,2,2,1,1,0,0,1,9,모니터링이 필요한 상황,경증 우울
Connioran,123456,vvv,male,45,010-9012-3463,v@v.com,2,2,2,2,2,1,2,1,2,1,1,2,2,22,0,0,1,0,0,0,0,0,0,1,모니터링이 필요한 상황,정상
Conodrilys,123456,www,female,58,010-1234-5685,w@w.com,1,1,1,0,0,0,4,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,모니터링이 필요한 상황,정상
Coroseis,123456,xxx,male,50,010-2345-6796,x@x.com,3,2,2,3,3,1,1,1,1,2,1,1,1,22,1,0,1,1,0,1,0,0,0,4,모니터링이 필요한 상황,정상
Corriella,123456,yyy,male,61,010-3456-7897,y@y.com,3,2,2,2,2,2,1,2,1,2,1,3,3,26,1,1,1,1,1,1,1,0,0,7,모니터링이 필요한 상황,경증 우울
Crevanne,123456,zzz,male,49,010-4567-8908,z@z.com,3,4,4,3,3,1,4,1,2,3,2,0,4,34,3,3,3,1,0,1,1,0,1,13,즉각적인 도움이 필요한 상황,중증 우울
Crombico,123456,aaa,female,20,010-5678-9019,a@a.com,3,3,3,2,3,1,4,2,1,2,1,0,0,25,1,0,2,2,0,0,0,0,0,5,모니터링이 필요한 상황,경증 우울
Crunantan,123456,bbb,male,53,010-6789-0130,b@b.com,1,3,3,4,2,1,3,1,1,3,0,2,3,27,1,1,2,1,1,0,1,0,0,7,즉각적인 도움이 필요한 상황,경증 우울
Cullerde,123456,ccc,male,60,010-7890-1241,c@c.com,1,1,1,1,1,1,2,2,0,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,모니터링이 필요한 상황,정상
Cummatta,123456,ddd,female,46,010-8901-2352,d@d.com,4,4,4,3,2,2,2,3,2,3,2,2,3,36,3,3,3,3,3,1,2,0,1,19,즉각적인 도움이 필요한 상황,중증 우울
Cunegaldus,123456,eee,male,69,010-9012-3463,e@e.com,3,2,2,2,2,2,3,3,1,1,1,1,1,24,0,0,0,0,0,0,0,0,0,0,모니터링이 필요한 상황,정상
Cunobronia,123456,fff,female,38,010-1234-5686,f@f.com,2,2,2,2,2,2,2,2,2,2,2,2,2,26,0,0,0,0,0,0,0,0,0,0,모니터링이 필요한 상황,정상
Currosinen,123456,ggg,male,52,010-2345-6797,g@g.com,1,1,0,3,1,1,3,1,1,2,0,0,0,14,0,0,0,0,0,0,0,0,0,0,모니터링이 필요한 상황,정상
Cutbalta,123456,hhh,female,36,010-3456-7898,h@h.com,1,1,1,1,1,1,1,1,1,1,1,1,1,13,3,3,3,1,3,3,0,0,2,18,모니터링이 필요한 상황,중증 우울
